GEOID,NAME,period,ndvi_anomaly,lst_anomaly
06055,Napa,2012-13,-0.0011372009179621237,0.7170366031122455
06041,Marin,2012-13,-0.003811982461376507,-0.0761008905981786
06013,Contra Costa,2012-13,-0.0012321860480111,0.9030332960275415
06081,San Mateo,2012-13,-0.0045064229622806,-0.27255492131337683
06001,Alameda,2012-13,-0.006907937445995609,1.134576132102532
06069,San Benito,2012-13,-0.025748368840927422,1.6795907382012067
06085,Santa Clara,2012-13,-0.011281760158370895,1.0468526326754872
06087,Santa Cruz,2012-13,-6.666497096006424E-4,0.17764687540145638
06097,Sonoma,2012-13,0.004329659564484675,0.2238027565843497
06077,San Joaquin,2012-13,0.008070763261042647,0.698799213210349
06095,Solano,2012-13,6.678485032103231E-5,0.73493839784334
06031,Kings,2012-13,-0.02012396799174747,1.589442849708226
06107,Tulare,2012-13,-0.006234918370407979,1.1220253221617007
06103,Tehama,2012-13,-0.012241266664265489,1.4406672618490919
06089,Shasta,2012-13,-0.003989261635459949,1.1210798520914949
06067,Sacramento,2012-13,6.870881811777956E-4,1.0964614388371077
06061,Placer,2012-13,0.004767364364700296,0.6241863283063069
06017,El Dorado,2012-13,0.009683437139182233,0.658943384407174
06113,Yolo,2012-13,0.0017899936208308417,0.8219141530994734
06057,Nevada,2012-13,0.01107720621531025,0.6341651367951445
06115,Yuba,2012-13,0.008672901141139512,0.7818836111677004
06101,Sutter,2012-13,0.014284747235154409,0.3625554265827243
06091,Sierra,2012-13,0.00992231908422599,0.46548846224234436
06009,Calaveras,2012-13,-0.0026877616331740786,1.1143079854445308
06043,Mariposa,2012-13,-0.009490175585729397,1.4892572344455364
06105,Trinity,2012-13,0.0037696255314288176,0.6297921735166292
06027,Inyo,2012-13,-0.012531281951959608,0.481551737471667
06051,Mono,2012-13,-0.0119258027808959,1.0870642556023256
06003,Alpine,2012-13,-0.006915464545595713,0.963941097004155
06011,Colusa,2012-13,-0.0023424761934797184,0.8657524460798147
06049,Modoc,2012-13,0.0031122886495949425,0.8625433455539491
06063,Plumas,2012-13,0.0020766852344493063,0.9056318588505418
06093,Siskiyou,2012-13,0.003932761705873787,0.5927252731984002
06021,Glenn,2012-13,-0.005232255214521981,0.9394313151608714
06005,Amador,2012-13,-0.004168816357734304,1.176484077731974
06029,Kern,2012-13,-0.014699822432704695,0.821433443841039
06007,Butte,2012-13,-0.002053007548106536,0.8646391394741973
06033,Lake,2012-13,0.004328051071214084,0.8092127734143635
06015,Del Norte,2012-13,0.016080903091074895,-0.2995131945452106
06025,Imperial,2012-13,-0.0028012936151620748,0.3509973344325986
06023,Humboldt,2012-13,0.019096013615475166,-0.28019849623550513
06053,Monterey,2012-13,-0.021264797422339568,1.3902350105237564
06073,San Diego,2012-13,-0.008659531347366798,0.6230784549347226
06079,San Luis Obispo,2012-13,-0.02291975104547045,1.527849767659012
06083,Santa Barbara,2012-13,-0.03695130601094965,1.3521844839917376
06109,Tuolumne,2012-13,-0.0043238247029578685,1.1453654745979998
06035,Lassen,2012-13,-0.007705544737845059,1.444487307083854
06045,Mendocino,2012-13,0.004542962108264598,0.29401039991562594
06037,Los Angeles,2012-13,-0.032600639057628396,1.8436697935156818
06059,Orange,2012-13,-0.018222429027637474,1.3204742471086899
06111,Ventura,2012-13,-0.0383036216515085,1.7086977687774985
06071,San Bernardino,2012-13,-0.009375137011019904,0.13196591968285987
06065,Riverside,2012-13,-0.006723135344599131,0.35742471491483957
06047,Merced,2012-13,0.0017326811367137508,1.1267148681581265
06099,Stanislaus,2012-13,-0.00310417504047398,0.8992671289748321
06019,Fresno,2012-13,-0.016193880027141054,1.5026876443530421
06039,Madera,2012-13,-0.003798988187870149,1.18050747624238
06075,San Francisco,2012-13,-0.007790382188159038,-0.4013947918486537
06055,Napa,2014-16,-0.012557097049775529,0.8096745977190535
06041,Marin,2014-16,-0.011533884352868234,0.8758517203050888
06013,Contra Costa,2014-16,-0.01201743161199587,0.8978610663381822
06081,San Mateo,2014-16,-0.02281110428146952,0.9684131766499897
06001,Alameda,2014-16,-0.018033278463098483,1.0150220492805229
06069,San Benito,2014-16,-0.03311438356744534,1.7095497433850628
06085,Santa Clara,2014-16,-0.021862394433514645,0.9167628414815207
06087,Santa Cruz,2014-16,-0.01426653811684436,0.7112079015903736
06097,Sonoma,2014-16,-0.005637830793011821,0.5155055975739479
06077,San Joaquin,2014-16,-0.006318324092554838,0.9772547911291867
06095,Solano,2014-16,-0.011714331348894082,1.0704659796925131
06031,Kings,2014-16,-0.05582258086443657,3.6847739830009174
06107,Tulare,2014-16,-0.027794412310860123,1.6453349762124985
06103,Tehama,2014-16,-0.014862271288105453,1.019834835818885
06089,Shasta,2014-16,-0.02231865403505776,1.2125337770362514
06067,Sacramento,2014-16,-0.011351982427595,0.9760767954902985
06061,Placer,2014-16,-0.012899326631247883,0.8799031153272276
06017,El Dorado,2014-16,-0.008657526304657766,0.8566937268345353
06113,Yolo,2014-16,-0.024353859579950326,1.5235757403379573
06057,Nevada,2014-16,-0.0011228081430660923,0.49056789075286733
06115,Yuba,2014-16,-0.006740551767917802,0.6836176839286338
06101,Sutter,2014-16,-0.016931240522092675,1.3771431325793637
06091,Sierra,2014-16,0.007668801517206714,-0.024229522011613287
06009,Calaveras,2014-16,-0.021973882177827676,1.276844225975301
06043,Mariposa,2014-16,-0.03280315261997196,1.6553147076517205
06105,Trinity,2014-16,-0.01459431038636063,1.3839158707973302
06027,Inyo,2014-16,-0.011804700463435363,0.2913235609897844
06051,Mono,2014-16,-0.00984045470718975,0.2615581453109878
06003,Alpine,2014-16,-8.993668780661818E-4,0.25396005400130894
06011,Colusa,2014-16,-0.03140917283097175,1.7832400930058292
06049,Modoc,2014-16,-0.0021132390200170516,0.5301102818466105
06063,Plumas,2014-16,-0.004436221379866862,0.6701790097772412
06093,Siskiyou,2014-16,-0.01444197281740043,0.7747795068445029
06021,Glenn,2014-16,-0.0185595621018595,1.1568692208050584
06005,Amador,2014-16,-0.008221091647737273,0.8310038877403652
06029,Kern,2014-16,-0.029397689889719348,1.3474815858312974
06007,Butte,2014-16,-0.011672066222159574,0.9865079000359526
06033,Lake,2014-16,-0.018980213955026064,1.4489485473654964
06015,Del Norte,2014-16,-0.0023044313321324123,0.8789502921482908
06025,Imperial,2014-16,-0.012730230424071986,0.566281543778186
06023,Humboldt,2014-16,5.138410044689913E-4,0.9330547717572492
06053,Monterey,2014-16,-0.024156655474175514,1.451221964173861
06073,San Diego,2014-16,-0.02952166179046623,1.042732355436127
06079,San Luis Obispo,2014-16,-0.03339926417152537,1.8627686598763136
06083,Santa Barbara,2014-16,-0.052852502729197386,2.3571284014916962
06109,Tuolumne,2014-16,-0.033601066034350535,1.5889892323253256
06035,Lassen,2014-16,-0.004693548217310518,0.5109017500142844
06045,Mendocino,2014-16,-0.0030869875361407375,0.9374623306521812
06037,Los Angeles,2014-16,-0.04251416698543771,2.05912659032373
06059,Orange,2014-16,-0.033679505110603476,1.96020892057565
06111,Ventura,2014-16,-0.04911302990088387,2.0191803273837885
06071,San Bernardino,2014-16,-0.01457203950570029,0.049139999600737914
06065,Riverside,2014-16,-0.020296585334408535,0.2804413143940381
06047,Merced,2014-16,-0.018294539697123153,1.5647419553185913
06099,Stanislaus,2014-16,-0.01008875165827117,0.6093278526505245
06019,Fresno,2014-16,-0.03869696568985729,1.8735486145247555
06039,Madera,2014-16,-0.016902991362633873,1.1143164426899812
06075,San Francisco,2014-16,-0.0047151325365400905,0.9636053323972719
06055,Napa,2017-19,-0.006386684142960765,0.5090367718954086
06041,Marin,2017-19,0.016284263771670797,-0.050012428715555744
06013,Contra Costa,2017-19,0.005286076131875956,0.17175897175777355
06081,San Mateo,2017-19,0.009654738621865406,0.29295490820782033
06001,Alameda,2017-19,0.0017168090754955394,-0.011330789068071351
06069,San Benito,2017-19,-0.0068080026410306865,0.07086051036477933
06085,Santa Clara,2017-19,2.0562582319854963E-4,0.1443914181719512
06087,Santa Cruz,2017-19,0.010903672768745628,0.7014541749480512
06097,Sonoma,2017-19,0.005200494661521802,0.31518964591983234
06077,San Joaquin,2017-19,0.006859771428424987,0.2893834398209658
06095,Solano,2017-19,0.0053340647043892105,0.17158283953101755
06031,Kings,2017-19,-0.016248869775833532,1.1479186721519223
06107,Tulare,2017-19,-0.015269283776522716,0.43309127059161145
06103,Tehama,2017-19,-0.0033904383900465584,-0.05662248059618734
06089,Shasta,2017-19,-0.016107946733162945,0.6664289902887838
06067,Sacramento,2017-19,-0.001047263830637368,0.2528509137385002
06061,Placer,2017-19,-0.004552708472356431,0.4063882655397262
06017,El Dorado,2017-19,-5.067022203960626E-4,0.19071348215396258
06113,Yolo,2017-19,-0.0037316696340014806,0.4310672184363697
06057,Nevada,2017-19,0.012884505550370767,-0.24246440582586576
06115,Yuba,2017-19,0.006473771941785526,0.008296809765357382
